,student,balance,income,default
259,Yes,876.0007779,22474.57409,No
260,No,554.1078115,30357.02598,No
261,No,891.3178981,43945.04165,No
262,No,464.8363331,27324.89969,No
263,Yes,563.5426611,24082.03934,No
264,No,1530.353157,30003.81715,Yes
265,No,990.5670262,41690.25262,No
266,No,590.3997865,42769.20388,No
267,Yes,715.1641096,21153.51101,No
268,No,1540.377727,41852.07844,No
269,No,1243.326518,41639.68038,No
270,Yes,235.3284999,20909.70475,No
271,No,528.2543232,49394.34077,No
272,No,592.2538956,30731.2016,No
273,No,705.204972,42683.18724,No
274,No,456.515644,48195.77584,No
275,Yes,470.7175747,18052.105,No
276,Yes,1503.07513,10600.41354,No
277,No,1362.965595,44217.91604,No
278,No,908.7715737,45032.84599,No
279,Yes,1096.820272,16148.06001,No
280,No,369.2219425,47835.09105,No
281,No,673.399899,50256.29021,No
282,No,1038.500008,51173.14138,No
283,No,0,28762.92378,No
284,No,527.1940866,32431.11826,No
285,No,817.4693368,32974.42735,No
286,Yes,1549.042755,19702.29321,No
287,Yes,566.7137894,11853.95317,No
288,No,1496.056465,24935.91874,No
289,No,862.6566564,42844.834,No
290,No,1259.149418,31263.64108,No
291,No,1025.038833,43510.04964,No
292,Yes,703.2777871,14793.74268,No
293,Yes,1082.391497,15175.36121,No
294,No,910.4490235,44054.91642,No
295,Yes,996.5438622,16995.6604,No
296,No,353.778226,58514.31808,No
297,Yes,782.7108275,13300.29747,No
298,No,1716.595418,51056.86829,No
299,Yes,502.8986384,15153.96576,No
300,No,1033.468469,59203.96766,No
301,No,0,34925.36541,No
302,Yes,1087.083499,19263.76958,No
303,No,1047.244249,43899.75925,No
304,No,1056.927353,38367.86795,No
305,Yes,979.2244246,26010.8878,No
306,Yes,847.8187063,15978.63363,No
307,No,781.7712848,50958.79051,No
308,Yes,402.4888868,15904.05592,No
309,No,204.7401817,17534.29054,No
310,Yes,2022.674643,18336.74317,No
311,No,748.9370638,44186.61776,No
312,No,838.2756878,35917.49061,No
313,No,386.0160493,44694.03096,No
314,No,812.3992965,49623.10098,No
315,Yes,1809.926564,6985.135945,No
316,No,0,30360.54894,No
317,Yes,1328.183804,24688.47372,No
318,Yes,1464.936049,26716.68637,No
319,No,1200.565138,39718.69266,No
320,No,989.68642,27856.57706,No
321,No,870.7345799,35539.27022,No
322,Yes,1200.84739,19849.83141,No
323,Yes,1428.832047,23204.68146,No
324,No,0,33951.28873,No
325,Yes,359.4588665,21783.26949,No
326,No,265.6839498,40862.75401,No
327,No,1027.770532,44406.83691,No
328,No,729.0474335,35042.133,No
329,No,1042.80492,25867.14772,No
330,No,230.2305879,37875.61482,No
331,No,367.4660122,30611.27227,No
332,Yes,737.7053539,20863.79967,No
333,No,18.26128536,30349.46042,No
334,No,1257.760209,30834.77137,No
335,No,455.5215132,40907.39835,No
336,No,56.96756035,35458.48156,No
337,Yes,723.9319853,12213.03714,No
338,No,612.3831577,41379.76781,No
339,Yes,1220.177606,15308.12707,No
340,No,1222.347692,32363.37105,No
341,No,1165.491138,47684.21945,No
342,No,1642.819997,46856.94704,Yes
343,No,944.17356,56088.6838,No
344,No,749.6080039,41423.94117,No
345,No,370.3751868,31231.00784,No
346,No,1991.64912,42133.37318,Yes
347,No,773.9152266,44562.33812,No
348,Yes,817.2498113,20480.88706,No
349,No,1060.71622,50260.46437,No
350,No,1550.449264,56273.51361,Yes
351,Yes,454.4669622,15092.43931,No
352,Yes,1256.239325,17784.55894,No
353,No,1484.395393,36731.30869,No
354,Yes,1050.477328,12661.61163,No
355,No,986.4006189,45430.47221,No
356,No,717.341927,44266.37654,No
357,No,692.1432227,47038.09032,No
358,No,1328.892725,34710.06237,Yes
359,No,673.4681911,32930.06936,No
360,No,218.639297,48991.39538,No
361,No,1218.166966,43954.27749,No
362,Yes,13.51680255,19322.54503,No
363,Yes,531.4786999,21726.55897,No
364,No,165.5381517,33436.45574,No
365,Yes,1351.849722,25890.50399,No
366,No,107.282083,54143.96275,No
367,No,947.1935714,35604.11719,No
368,Yes,434.5602592,14812.64524,No
369,No,1020.06724,37458.87925,No
370,No,662.305318,31597.89762,No
371,Yes,754.4206129,20767.68302,No
372,No,289.4895757,44412.8951,No
373,No,198.0384092,36270.93812,No
374,Yes,516.0604917,16615.02196,No
375,No,697.563809,41755.39815,No
376,Yes,502.3247835,16947.42293,No
377,Yes,1459.687083,15575.41923,No
378,No,716.9987227,34418.26022,No
379,Yes,1037.972705,18324.03006,No
380,No,673.0161172,29735.9616,No
381,No,371.9217847,41099.77244,No
382,No,89.13495796,55604.60753,No
383,No,1273.280181,40895.28277,No
384,No,600.723303,18680.51677,No
385,No,905.0381646,40711.7989,No
386,No,1061.441562,54437.01032,No
387,No,1672.639248,46334.78776,No
388,Yes,883.7026456,19750.094,No
389,No,373.78033,53936.24178,No
390,No,1287.795187,52382.6647,No
391,No,1229.742571,48739.92739,No
392,Yes,510.613847,22457.05175,No
393,No,775.6301687,27205.85739,No
394,No,1152.982887,50206.57693,No
395,Yes,1303.66259,7986.000336,No
396,No,1675.278852,28244.50348,No
397,No,398.277733,30001.79506,No
398,Yes,739.9017594,25023.87386,No
399,No,226.4176965,32018.71363,No
400,No,1217.321712,25173.61961,No
401,No,639.8205582,29902.00199,No
402,Yes,883.1669769,12717.49223,No
403,No,2.287610953,38186.52427,No
404,No,419.6373477,55967.99317,No
405,Yes,1544.14025,11102.53474,No
406,No,1101.015018,32153.01359,No
407,No,1700.599913,30488.98341,Yes
408,No,311.8245869,48301.05966,No
409,No,442.8302223,55074.13083,No
410,No,728.8149601,17909.58107,No
411,No,278.8779025,37188.66837,No
412,No,758.7023275,36625.98955,No
413,No,620.3396794,22803.74103,No
414,Yes,1890.167411,18402.46488,No
415,No,0,28951.4519,No
416,Yes,1329.198842,23184.01555,No
417,No,1075.863772,44128.62826,No
418,No,618.5275092,54956.99054,No
419,No,1111.086576,27466.89368,No
420,No,864.0397435,45881.93021,No
421,No,895.2298096,48512.45564,No
422,Yes,954.0304337,21908.52716,No
423,No,947.6349327,46813.51631,No
424,No,267.3037277,23117.92867,No
425,Yes,1366.805783,23913.2088,No
426,No,624.7318835,38325.17376,No
427,No,13.67938267,25221.63767,No
428,No,785.8664857,44778.01578,No
429,Yes,1353.093846,18933.49619,No
430,No,480.3212639,25553.26285,No
431,No,0,29507.31325,No
432,Yes,1221.971243,17916.85609,No
433,Yes,1184.936523,25108.75671,No
434,Yes,478.5720556,27512.3449,No
435,No,221.6904619,34786.10135,No
436,No,578.3876217,41054.13866,No
437,Yes,1361.458432,19576.95713,No
438,Yes,977.8480956,19731.96099,No
439,No,1184.425245,36887.43997,No
440,Yes,1118.701039,21848.4429,Yes
441,No,1119.097245,37224.56781,Yes
442,No,776.3499793,31329.48485,No
443,No,1322.297091,51792.40237,No
444,No,878.0264576,27438.58512,No
445,No,1268.379515,16921.18088,No
446,No,0,32611.37307,No
447,No,0,37262.57409,No
448,Yes,366.7869573,25833.0631,No
449,No,747.5610364,39898.76909,No
450,No,1787.285144,37499.09355,No
451,Yes,1929.44698,14995.49217,No
452,No,987.142891,27961.31961,No
453,Yes,856.3573684,20758.21469,No
454,No,1101.149707,18153.84432,No
455,No,704.18452,31515.98168,No
456,No,555.6234367,40837.73164,No
457,No,1073.498261,44764.11055,No
458,No,1126.223023,32842.65237,No
459,Yes,649.7733186,15708.29638,No
460,No,977.657621,43743.49673,No
461,No,1049.889964,42637.51106,No
462,Yes,1383.566333,15764.34588,No
463,Yes,1095.46574,14065.16757,No
464,No,1089.371791,30224.59613,No
465,No,605.2209683,21792.32152,No
466,No,1033.885399,49262.04533,No
467,No,1604.720554,38186.98507,No
468,No,826.3270259,24679.71504,No
469,Yes,1176.146823,16670.68079,No
470,Yes,1275.023199,19937.09803,No
471,Yes,1290.28314,23538.94414,No
472,No,1133.474199,51414.49596,No
473,No,837.4125669,37400.49288,No
474,Yes,379.0821667,18280.36703,No
475,Yes,1134.166278,12453.36359,No
476,No,0,39120.08479,No
477,No,1491.174803,59394.38308,No
478,Yes,1695.359586,9582.941897,No
479,No,705.5733276,54589.23987,No
480,No,239.1933663,33743.22655,No
481,Yes,1183.710641,12428.61451,No
482,No,898.7618389,38267.08158,No
483,Yes,1524.2904,11719.59348,No
484,No,777.0237374,35115.01855,No
485,No,1394.795819,26074.93436,No
486,Yes,0,20476.15572,No
487,No,62.57157516,47946.76709,No
488,No,1981.451815,28127.89547,Yes
489,No,514.0540348,50053.26193,No
490,No,722.788039,53714.18607,No
491,No,152.8663042,33716.86406,No
492,No,293.1847729,35390.2876,No
493,No,0,38613.6205,No
494,Yes,645.3668572,17878.36431,No
495,Yes,1515.152833,26046.77208,No
496,Yes,767.4395055,18846.48922,No
497,Yes,491.8797471,21715.2263,No
498,No,0,41389.43527,No
499,No,0,34589.48806,No
500,No,509.1551641,40132.65921,No
501,Yes,965.5873701,16440.0997,No
502,Yes,1868.540072,20489.59811,No
503,No,403.4972058,41803.77816,No
504,No,593.1436251,37670.93502,No
505,No,0,44547.86555,No
506,No,742.2900159,39367.19331,No
507,Yes,1110.100457,13013.61057,No
508,No,771.5512953,49440.40129,No
509,No,624.3388915,42492.75307,No
510,Yes,499.9572298,22884.95257,No
511,No,1088.63752,60650.03613,No
512,No,1556.491928,49669.66887,No
513,Yes,797.0843357,23558.68308,No
514,No,415.9925026,38215.67804,No
515,Yes,538.2326812,26833.03963,No
516,Yes,1181.934702,21086.08201,No
517,Yes,836.0206886,9271.789924,No
518,No,104.4432151,46928.00549,No
519,No,564.2094786,53196.62302,No
520,Yes,804.5394022,25091.46077,No
521,No,1028.95364,21218.30352,No
522,No,748.7465837,8983.856902,No
523,No,66.63208073,28735.97411,No
524,No,452.8022289,48034.23771,No
525,Yes,798.4605101,27724.06575,No
526,Yes,1941.902928,23467.12697,No
527,No,1446.101012,22996.4323,No
528,No,761.0640983,61580.03413,No
529,No,1350.172728,43147.45558,No
530,No,380.9502006,36943.36199,No
531,Yes,1602.849607,15906.4668,No
532,No,147.6101155,37588.56261,No
533,No,0,36283.08013,No
534,Yes,733.0725124,18818.16738,No
535,Yes,1082.747976,26096.33703,No
536,No,779.6573003,40804.4757,No
537,No,994.1587122,65254.0758,No
538,No,769.1813741,50070.78155,No
539,Yes,684.0985191,4985.169113,No
540,No,442.5633017,27898.46539,No
541,No,1717.071593,38408.89092,Yes
542,No,0,36302.52844,No
543,No,1092.345865,44717.01258,No
544,No,497.3349541,35146.79877,No
545,Yes,1149.680655,16907.70074,No
546,No,1465.210164,58699.9832,Yes
547,No,565.3176042,41789.611,No
548,Yes,922.1378905,12224.18517,No
549,Yes,175.5993806,11510.05787,No
550,No,1024.946819,49675.56042,No
551,No,596.8854323,54091.62476,No
552,No,750.4104842,53084.90748,No
553,Yes,790.8700274,14183.97003,No
554,No,112.3278725,42386.04856,No
555,Yes,738.3944873,16093.28455,No
556,No,1157.855561,54419.80857,No
557,No,1213.243149,45149.51632,No
558,No,1339.626204,41656.00289,No
559,No,588.3124302,56520.96251,No
560,No,721.8081325,56375.72199,No
561,No,680.820719,43843.47412,No
562,Yes,815.4065709,12071.7625,No
563,No,1042.507112,37170.10905,No
564,Yes,663.2498681,20454.61655,No
565,Yes,1478.618545,18026.4711,No
566,No,337.756754,33655.57243,No
567,Yes,1273.55072,23126.6362,No
568,No,114.1797259,49562.98927,No
569,No,0,52295.60093,No
570,Yes,1516.317689,26377.59349,No
571,Yes,898.1146731,24164.7511,No
572,No,790.5905821,48219.59447,No
573,No,0,29072.72149,No
574,No,1273.24483,49136.4742,No
575,No,1279.200448,36063.11411,No
576,Yes,732.7193809,14568.74741,No
577,No,1763.579088,46227.07454,Yes
578,Yes,1280.418448,16310.90553,No
579,No,1529.937995,36912.8973,No
580,Yes,345.4676365,18251.49456,No
581,No,197.9894038,33723.98576,No
582,Yes,1770.969441,15975.5372,Yes
583,Yes,639.3719435,17037.0548,No
584,No,238.8146439,23526.71091,No
585,No,390.5558431,45338.35721,No
586,Yes,830.1715111,19476.58758,No
587,Yes,1378.876076,21613.57847,No
588,No,242.4034493,37364.42309,No
589,No,1236.547494,36211.49036,No
590,No,1063.774937,34914.27525,No
591,No,126.923179,33819.14332,No
592,No,758.4655013,38018.14569,No
593,No,908.9314586,68758.8784,No
594,No,558.5183424,46297.42541,No
595,No,1819.242333,36969.55252,No
596,Yes,1110.681744,19327.57504,No
597,No,723.2433747,43459.01185,No
598,No,972.031864,18510.94603,No
599,No,696.0144306,40741.42024,No
600,Yes,1178.248909,29362.60461,No
601,Yes,329.5585109,19371.81209,No
602,Yes,792.5292385,14546.30177,No
603,No,1246.037758,33691.72131,No
604,No,591.7607765,41670.25738,No
605,No,244.0811388,24854.24982,No
606,No,1038.54836,49944.86515,No
607,No,679.0745868,49488.56398,No
608,No,1061.415836,40585.22164,No
609,Yes,1268.240691,11914.57827,No
610,Yes,955.5336858,14736.72088,No
611,No,1115.82063,27882.80926,No
612,Yes,601.1632606,22029.19352,No
613,No,1097.600039,52286.43182,No
614,No,1042.783073,45982.96632,No
615,Yes,1321.443053,8624.110689,No
616,No,1052.39326,37637.65931,No
617,No,687.9517011,27604.07927,No
618,Yes,566.4605126,24828.26598,No
619,No,769.414224,35071.16654,No
620,No,955.1353421,26372.98582,No
621,No,643.4095265,28660.14017,No
622,No,0,42745.30201,No
623,No,437.6360626,45384.04745,No
624,No,1278.865642,34673.17099,No
625,No,1639.390572,30624.77593,No
626,No,891.6437373,36470.82834,No
627,Yes,316.4590483,18813.94021,No
628,No,622.9295074,48874.55577,No
629,No,107.2775268,42287.30286,No
630,Yes,990.5432158,12398.4906,No
631,No,0,45659.9957,No
632,No,0,33119.95533,No
633,No,591.2184873,35287.82458,No
634,Yes,928.0600783,21121.84483,No
635,No,304.5992239,40785.98918,No
636,No,235.9394977,31336.51012,No
637,Yes,1108.053518,10853.23094,No
638,No,687.306397,24563.75768,No
639,No,60.18603613,39864.86355,No
640,No,0,34648.9726,No
641,No,272.8932571,58730.57286,No
642,No,1531.716459,43930.4001,Yes
643,No,949.6086485,47702.57375,No
644,No,561.9161785,35080.57924,No
645,No,468.1325222,25231.34623,No
646,Yes,993.10817,12215.94682,No
647,No,0,31314.69509,No
648,Yes,759.4783692,12710.72092,No
649,No,1340.787209,36440.22832,No
650,Yes,1521.463396,15210.47407,No
651,No,133.7433443,30457.01637,No
652,No,780.1725692,51656.87406,Yes
653,No,839.9154583,22884.79302,No
654,No,913.5058729,36670.85422,No
655,No,924.8814415,35712.63791,No
656,No,1197.831505,54652.3093,No
657,No,49.2096659,30451.15286,No
658,No,970.7160966,48387.64862,No
659,No,783.0574005,54082.42408,No
660,Yes,465.0628886,20379.06209,No
661,No,0,39337.74998,No
662,Yes,732.2642676,21986.04545,No
663,No,576.0912613,37679.69859,No
664,Yes,588.9910563,16309.87545,No
665,No,863.1407178,43779.47785,No
666,No,857.575734,49675.37032,No
667,No,361.5017311,33674.89024,No
668,No,891.1554271,36023.08501,No
669,No,918.122206,44738.55603,No
670,No,1335.028018,21150.85594,No
671,No,421.4008434,39873.52174,No
672,Yes,743.6361445,18883.97151,No
673,No,773.7403725,41872.49476,No
674,No,731.3934722,45251.88192,No
675,No,964.1889227,36330.3946,No
676,Yes,350.0151843,17657.17266,No
677,No,1206.661362,37125.59135,No
678,No,1051.947573,52888.1851,No
679,No,454.7603707,45572.17248,No
680,No,932.6653075,42758.6007,No
681,No,535.7458465,36259.46376,No
682,No,241.8052522,41186.18281,No
683,No,1026.50671,42042.16794,No
684,Yes,187.6798856,18278.83397,No
685,No,197.5383215,58646.9278,No
686,No,585.7080883,43288.40038,No
687,Yes,1947.022401,12147.04641,No
688,No,829.5475975,39717.53761,No
689,No,196.9384595,35488.44888,No
690,No,591.863619,31438.77601,No
691,No,0,39742.10546,No
692,Yes,1008.291619,11939.29526,No
693,Yes,1052.227478,17410.75159,No
694,No,331.6805267,49756.17101,No
695,No,913.107204,29414.65218,No
696,Yes,561.3916122,21747.26318,No
697,No,246.955463,47692.89425,No
698,No,578.9786101,46304.71748,No
699,No,557.8087771,62352.84607,No
700,Yes,788.2517516,10418.18286,No
701,No,1060.807429,39174.05636,No
702,Yes,1247.907029,19816.72014,No
703,No,1184.360723,34259.9902,No
704,No,1024.578238,33071.54992,No
705,No,1080.291656,43367.89957,No
706,No,540.2790448,26267.15635,No
707,No,1448.835465,33835.73626,No
708,Yes,561.1940353,27421.11126,No
709,No,1191.480307,30040.57215,No
710,No,565.1389875,38202.58394,No
711,No,482.9821952,35845.19283,No
712,No,950.3500933,37486.24955,No
713,Yes,350.7029135,21235.36042,No
714,Yes,1551.023469,19027.50863,Yes
715,No,981.5962751,37747.91335,No
716,No,1442.129805,10921.61503,No
717,No,1060.33586,56607.25397,No
718,No,1154.890792,61794.34633,No
719,Yes,544.1397693,20056.82854,No
720,No,1137.175454,27588.93331,No
721,No,414.0840495,47811.41892,No
722,Yes,436.0083144,17504.44777,No
723,No,987.8147997,25809.98028,No
724,No,679.3918418,46603.54641,No
725,No,1377.772007,51633.32955,No
726,No,856.8119605,32437.13183,No
727,No,1036.676833,44923.80275,No
728,No,0,46826.80447,No
729,No,961.4720707,51936.75989,No
730,No,275.9880913,35622.82945,No
731,No,426.6935421,30769.34477,No
732,No,290.2519082,46214.15923,No
733,No,934.9697035,42325.74999,No
734,Yes,668.9911556,26342.04846,No
735,Yes,2004.727568,27136.53798,No
736,No,1312.86573,29938.25946,No
737,Yes,662.2735565,15092.05102,No
738,No,524.639806,36120.89226,No
739,Yes,1212.589568,21058.34866,No
740,No,961.3157694,30290.8065,No
741,Yes,1504.290178,13965.18604,Yes
742,Yes,613.656318,25040.48845,No
743,Yes,1233.343605,13402.07329,No
744,No,1221.385959,36961.31512,No
745,No,1217.056807,46256.78049,No
746,No,628.7576984,43205.1753,No
747,Yes,819.0973161,15957.94364,No
748,Yes,843.4934551,12710.02571,No
749,No,1173.559815,29141.36573,No
750,Yes,1195.590283,13329.5964,No
751,No,1202.883124,12288.12708,No
752,No,24.87182349,29316.97033,No
753,No,853.2414216,29484.05238,No
754,No,398.7757053,40223.90981,No
755,Yes,1521.172396,18149.88619,No
756,Yes,1160.221793,15941.05088,No
757,No,985.6140627,49948.46711,No
758,No,583.8207193,38215.96476,No
759,Yes,638.6919826,18148.30171,No
760,No,384.9977195,25380.70345,No
761,No,1050.764231,31558.89842,No
762,Yes,1871.938387,18077.48709,Yes
763,No,793.7617176,35157.73998,No
764,Yes,591.6606513,21790.50243,No
765,No,419.4764413,24001.5122,No
766,Yes,514.2838902,18185.4797,No
767,No,1027.895035,21551.61109,No
768,Yes,1029.681549,15977.32114,No
769,Yes,953.6263238,18363.0685,No
770,Yes,1463.337765,11579.15945,No
771,No,1172.459499,34690.13828,No
772,Yes,548.2728639,12048.82289,No
773,No,1752.883789,48250.10462,No
